"Data Source","World Development Indicators",

"Last Updated Date","2019-10-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Bhutan","BTN","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","229.445942764203","236.611955176967","218.827378115476","233.607222480965","263.712515896807","266.331884282142","301.28227784865","389.015700979594","441.520522226918","443.204924761639","473.377866041441","376.345762028431","363.486790111319","349.499132138713","421.322916294668","438.377726832013","459.000172564574","542.469435222023","504.140424678738","530.390243594297","671.158306218463","717.625500258134","784.708659909288","878.496214506098","976.531779573748","1132.87481233927","1231.24882535835","1588.73075803333","1629.48186940868","1602.78111709252","1930.88087532138","2184.44989124402","2137.43367541959","2114.2680854148","2273.79794043018","2340.89771474562","2445.93647564811","2703.18488307883","",
"Botswana","BWA","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","950.491077449162","1023.17921437528","924.378417384839","969.969649470121","944.350680740638","826.845809128648","1007.11119456001","1296.27229920485","1706.41659080185","1911.96959258479","2487.2224303597","2620.63422635478","2710.16882236899","2771.39899060422","2404.42878428528","2729.97387278834","2605.74744484887","2749.6034210354","2746.12256203089","2861.2366092532","2898.75960101642","2857.70654155863","2414.25287241989","3097.50940449734","3523.98351554894","4002.04617012019","3860.74044028454","4059.6377825198","3990.31649748612","3638.67029868176","4648.7675980715","6135.56790263555","5632.09664025396","5429.364124362","5919.08750582975","5263.2585685741","5477.27688603501","5949.56456745472","",
"Central African Republic","CAF","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","318.707540050195","275.594386322278","284.610000468227","239.628339093313","229.060298211337","307.933418870105","388.743934627712","400.156634537456","415.991530242649","401.862137984113","462.526192761174","432.171346027131","431.198734875799","378.22549771632","245.694365432149","315.625689548919","273.845585698077","251.669862368687","254.285234592149","259.441320949266","230.734815261507","231.637176763816","241.063972429271","273.080058665043","296.776420310229","307.944644465197","329.394541282567","373.496441681804","423.429115012199","415.637842781455","411.633361061773","447.152056916664","430.288875991574","278.999001174741","317.124732257602","285.083905790843","302.921222175928","322.996813879163","",
"Canada","CAN","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","3386.33645989522","3727.59525504623","4244.56389901933","4781.47541354656","5676.86776129799","6104.10676411921","7186.89686960908","7229.10469489999","7376.21860356719","7864.59459440311","8686.06658387382","9718.9201484796","9829.96280822236","10667.1179266164","11030.7432858722","11292.7007280248","11645.0917555554","13172.1294301352","15268.74174967","16658.7271042693","17089.1558113577","17497.9004759538","16653.9583276207","16080.5809733306","15938.4583755467","16551.1951528979","16963.1384124601","17534.7718815227","16743.2701420307","17829.1117761051","19449.7979358776","18966.0200714109","19553.4034595444","22832.1114800242","25942.0700351624","29559.9528115285","32803.911511955","36272.0085569815","37735.7379063767","32883.9902947507","38427.3680313043","42189.9129969879","42696.4932122031","42650.047211171","41307.9760003753","35162.0849064359","34201.6393535848","36802.0730904932","",
"Central Europe and the Baltics","CEB","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1881.061357104","2256.94156979804","2823.45582541064","3035.44959003828","3017.77524621596","3324.15538681014","3206.90429663685","3195.07729582782","3526.56203408841","3986.32091762557","4776.0533963419","5681.37965732224","6730.30926662513","7589.04331795173","9597.18135392683","11767.0089089089","9852.95908944183","10044.9474933491","11030.095551073","10386.2392089047","10972.9841312788","11321.6606374898","9977.31326211936","10200.096728235","11337.7177870581","",
"Switzerland","CHE","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","16007.3279483078","14759.9556067398","14873.768632913","14750.5402742351","14110.9328684342","14214.8779988781","20011.1443980182","24550.8002000417","26404.3612774878","24779.1393388107","30926.2399741902","30911.0757718929","31603.3396707291","30720.9590566738","33664.1056362231","39942.5955750795","38636.1389127534","34373.7818191968","35477.9077553054","34810.7990872301","32727.8800042887","32076.6457779337","33748.1763171309","40888.7289972006","45380.3865809093","47905.9257347735","49973.5225272163","50935.7548152399","52730.1283369697","56265.6547399422","63531.5182977091","71212.4581924818","68125.900711061","69068.3724606699","68789.5519714719","67087.4704120161","64069.5857619122","64306.9621962865","",
"Channel Islands","CHI","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","793.054519265068","959.629591946006","1041.58950589261","1404.70954228979","1280.09937571199","547.709431166321","748.920274154855","1049.54087116746","1191.40207957034","1606.59932352947","2127.31340472915","2515.83487951986","1710.93691759873","1299.00906405707","1214.01192018271","996.168889089653","1089.8014328867","1298.93396340374","1476.10297493941","1663.45024063259","1877.45237818354","2153.90283640988","2647.3230961884","2856.02509008906","3205.77391839476","4084.46051487654","4276.76440231546","4617.47830261567","4484.13629491575","3977.44300953792","4005.28285364802","3671.68757154122","3572.30141526098","3698.06418195139","4492.85979875261","5427.99520918962","6019.40053649947","6792.52061387836","7466.00571445665","7436.74519217016","9146.42011283422","10600.7634300338","11471.4864105237","11982.7343612868","11267.788798855","10641.2744656613","10755.3192167394","11353.3045916759","",
"China","CHN","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","104.651566431866","109.480181093338","121.615006028848","144.507976702542","143.192720376699","156.437183161221","143.236044902954","159.782379985199","133.5782794126","148.347446013665","153.910637370179","155.781044973626","164.830157690675","188.670622186541","213.01047270787","250.836933253145","245.612075866791","217.610419572341","248.142210801533","269.24454675706","271.513169835857","290.309675452599","322.355491112058","328.756688807974","411.979505702271","521.189013488089","602.360490083436","665.58699514273","696.376409993427","732.945775311678","796.531884607621","867.495247837308","957.976517842416","1070.10774607207","1229.4871550283","1408.84362109067","1678.53860574084","2131.69966462235","2652.38306625694","3012.45586123472","3459.18181520509","4124.14411999674","4770.88224223729","5262.94989015588","5754.29706417348","6091.61543453318","6163.98451386059","6567.92860612977","",
"Cote d'Ivoire","CIV","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","271.886802530403","305.462310473822","392.769065383781","465.39624898454","556.157867673181","636.536213369389","816.497318325962","960.508788155132","1034.86680828027","1096.21509812021","847.293138525979","728.079079181757","606.173175850882","602.860400385683","577.973098754147","758.468901668179","791.334223492446","776.776233754578","678.7102768472","718.022154788978","688.305318031041","717.941412983942","684.375055307942","514.355672772091","665.847365424664","721.090681233678","688.908649212629","735.099888911488","696.373157065962","555.378587800852","559.212246464345","595.179266526652","699.51972782494","772.187479323629","829.049091978371","825.918409054954","940.06748457858","1091.05783321013","1093.54183681403","1090.91015244041","1060.86468190423","1112.07294882269","1266.85500922791","1441.5126433035","1577.70522151887","1402.27537854933","","",
